ET_ID,CVE_MUNICIPIO,total_sv_feb,total_sv_mar,total_sv_abr,total_sv_may,total_sv_ju,total_sv_jul,total_sv_ago,total_sv_sep,total_sv_oct,total_sv_nov,total_sv_dic,total_sv_total,total_sv19_total,total_sv_total,total1920,19mdp,20mdp,1920mdp
28038,28038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000,,35000,35000,,35,35
30162,30162,NA,NA,NA,5000,5000,5000,5000,5000,5000,5000,NA,35000,,35000,35000,,35,35
30015,30015,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,20000,40000,200000,40000,240000,200,40,240
30140,30140,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,20000,40000,145000,40000,185000,145,40,185
9017,9017,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,25000,40000,130000,40000,170000,130,40,170
16059,16059,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,10000,40000,,40000,40000,,40,40
24028,24028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,40000,,40000,40000,,40,40
24056,24056,NA,NA,NA,5000,5000,5000,5000,5000,5000,5000,5000,40000,,40000,40000,,40,40
30118,30118,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,20000,45000,255000,45000,300000,255,45,300
7099,7099,5000,5000,5000,5000,NA,5000,5000,5000,5000,5000,NA,45000,,45000,45000,,45,45
21063,21063,5000,5000,5000,5000,NA,5000,5000,5000,5000,5000,NA,45000,,45000,45000,,45,45
30106,30106,5000,5000,5000,5000,NA,5000,5000,5000,5000,5000,NA,45000,,45000,45000,,45,45
23005,23005,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,30000,50000,250000,50000,300000,250,50,300
30028,30028,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,25000,55000,255000,55000,310000,255,55,310
21173,21173,5000,5000,5000,5000,10000,5000,5000,5000,5000,NA,5000,55000,100000,55000,155000,100,55,155
