CVE_MUNICIPIO,feb,mar,abr,may,ju,jul,ago,sep,oct,nov,dic,total
7101,NA,NA,NA,NA,70000,NA,NA,NA,NA,NA,70000,140000
7102,2130000,2130000,2130000,2135000,1925000,2095000,2040000,2035000,2035000,2025000,1845000,22525000
7103,5975000,5920000,5920000,5915000,5575000,5920000,5915000,5915000,5915000,5915000,5575000,64460000
7105,4380000,4370000,4335000,4330000,4310000,4320000,4295000,4295000,4295000,4285000,4285000,47500000
7113,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,5000
7114,9085000,9000000,8990000,9280000,9415000,9275000,9205000,9205000,9205000,9105000,9015000,100780000
7115,4480000,4470000,4535000,4520000,4860000,4670000,4660000,4660000,4660000,4650000,4620000,50785000
7116,9245000,9200000,9235000,9355000,9625000,9460000,9345000,9350000,9350000,9290000,9225000,102680000
7124,15000,15000,15000,15000,25000,25000,25000,30000,30000,30000,140000,365000
8004,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
8007,NA,NA,NA,1595000,7890000,8640000,14410000,6290000,6290000,12235000,9195000,66545000
8008,NA,NA,NA,NA,9775000,NA,29595000,NA,NA,20495000,10235000,70100000
8009,NA,NA,NA,NA,NA,NA,450000,670000,670000,1340000,995000,4125000
8012,NA,NA,NA,1620000,7690000,2035000,22460000,2275000,2275000,14515000,8340000,61210000
8017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000
8018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,55000
8019,NA,NA,NA,NA,NA,NA,40000,NA,NA,30000,15000,85000
8020,NA,NA,NA,NA,4890000,NA,12595000,NA,NA,8275000,4140000,29900000
8022,NA,NA,NA,250000,635000,1345000,990000,1000000,1000000,1000000,995000,7215000
8027,NA,NA,NA,5205000,20975000,8200000,30875000,7900000,7900000,22780000,15295000,119130000
8029,NA,NA,NA,NA,12570000,375000,59495000,390000,390000,38720000,19065000,131005000
8030,NA,NA,NA,NA,1420000,70000,11140000,130000,130000,6990000,3485000,23365000
8031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,25000
8032,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
8037,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,5000,15000
8040,NA,NA,NA,NA,380000,540000,1975000,1995000,1995000,1965000,1965000,10815000
8041,NA,NA,NA,NA,1180000,NA,3830000,NA,NA,2370000,1165000,8545000
8043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
8045,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
8046,NA,NA,NA,NA,2760000,NA,8660000,25000,25000,9365000,4945000,25780000
8047,NA,NA,NA,NA,460000,NA,925000,NA,NA,620000,310000,2315000
8049,NA,NA,NA,NA,NA,NA,1310000,NA,NA,960000,470000,2740000
8051,NA,NA,NA,NA,210000,NA,785000,NA,NA,465000,230000,1690000
8060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
8063,NA,NA,NA,NA,2460000,885000,8260000,500000,500000,5510000,2880000,20995000
8064,NA,NA,NA,660000,725000,775000,750000,755000,755000,725000,725000,5870000
8065,NA,NA,NA,275000,4475000,1995000,20335000,2435000,2435000,14745000,8365000,55060000
8066,NA,NA,NA,NA,8400000,NA,14160000,NA,NA,9415000,4690000,36665000
9002,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,10000,15000
9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
9007,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
9008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
9009,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
9010,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
9011,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
9016,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
9017,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,25000,40000
10002,975000,970000,970000,1120000,1140000,1165000,1165000,1165000,1165000,1155000,1140000,12130000
10003,1915000,1910000,1910000,2840000,2955000,2985000,2965000,2965000,2965000,2960000,2990000,29360000
10005,NA,NA,NA,2890000,6025000,6020000,6000000,6000000,6000000,6000000,6015000,44950000
10006,1980000,1980000,1995000,1990000,2015000,3540000,2970000,2965000,2965000,2950000,2910000,28260000
10007,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,10000,15000
10009,NA,NA,NA,985000,995000,1005000,1000000,1005000,1005000,1005000,1005000,8005000
10010,NA,NA,NA,630000,775000,1225000,1000000,1035000,1035000,1030000,1030000,7760000
10011,NA,NA,NA,NA,NA,2000000,1015000,1020000,1020000,1020000,1015000,7090000
10014,14465000,14170000,14180000,14210000,14290000,22795000,22660000,24295000,24295000,24255000,24210000,213825000
10015,NA,NA,NA,990000,1025000,995000,995000,1000000,1000000,1000000,1030000,8035000
10016,4815000,4820000,4825000,4820000,4875000,4805000,4710000,4735000,4735000,4720000,4665000,52525000
10017,NA,NA,NA,1260000,1715000,2045000,1960000,2010000,2010000,2010000,2000000,15010000
10019,965000,950000,950000,1705000,2000000,2010000,1995000,2000000,2000000,1985000,1985000,18545000
10020,NA,NA,NA,1930000,1990000,1985000,1995000,1995000,1995000,1980000,1975000,15845000
10022,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,15000,30000
10023,4495000,4420000,4425000,4905000,6375000,6440000,6375000,6365000,6365000,6330000,6215000,62710000
10024,NA,NA,NA,980000,1015000,1015000,1015000,1015000,1015000,1015000,1000000,8070000
10025,NA,NA,NA,610000,610000,1370000,1000000,1000000,1000000,1000000,1000000,7590000
10026,NA,NA,NA,NA,4130000,5865000,5000000,5075000,5075000,5040000,5005000,35190000
10027,2995000,2995000,2995000,2995000,4815000,5140000,4975000,5045000,5045000,5045000,5035000,47080000
10028,NA,NA,NA,2010000,2015000,1985000,1990000,2015000,2015000,2010000,1990000,16030000
10029,1795000,1795000,1815000,1810000,1870000,2005000,1945000,1945000,1945000,1945000,1890000,20760000
10030,1870000,1870000,1945000,1950000,2020000,2100000,2040000,2035000,2035000,1975000,1755000,21595000
